chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
[4950:4999],99,4950,4999,,,reference,0.9282903507246824,0.7,0.3,True,0.9038051991348637,0.7,0.3,True,0.2886526390142048,0.7,0.3,True,0.2730250466591099,0.7,0.3,True,0.4926302172183741,0.7,0.3,False
[5000:5049],100,5000,5049,,,reference,0.9201904999705355,0.7,0.3,True,0.931962681290617,0.7,0.3,True,0.17905455012361585,0.7,0.3,True,0.19737847269060443,0.7,0.3,True,0.464056175804452,0.7,0.3,False
[5050:5099],101,5050,5099,,,reference,0.9280982872155129,0.7,0.3,True,0.9448106384711433,0.7,0.3,True,0.21007552972534616,0.7,0.3,True,0.2533890945758076,0.7,0.3,True,0.42126243360807303,0.7,0.3,False
[5100:5149],102,5100,5149,,,reference,0.9503134729237582,0.7,0.3,True,0.9644713360914197,0.7,0.3,True,0.2495534213226156,0.7,0.3,True,0.20563300423101913,0.7,0.3,True,0.5059176944713586,0.7,0.3,False
[5150:5199],103,5150,5199,,,reference,0.9326734894834003,0.7,0.3,True,0.9459578105486007,0.7,0.3,True,0.28089937589320096,0.7,0.3,True,0.1939000990361382,0.7,0.3,True,0.4536401434237341,0.7,0.3,False
[5200:5249],104,5200,5249,,,reference,0.9150072369435185,0.7,0.3,True,0.9094733518717039,0.7,0.3,True,0.20030506016648789,0.7,0.3,True,0.22981966515588115,0.7,0.3,True,0.48304823189617363,0.7,0.3,False
[5250:5299],105,5250,5299,,,reference,0.9086055340990529,0.7,0.3,True,0.9460246200074443,0.7,0.3,True,0.29948785949267803,0.7,0.3,True,0.18286594550320892,0.7,0.3,True,0.5074209875594642,0.7,0.3,False
[5300:5349],106,5300,5349,,,reference,0.8869782342233206,0.7,0.3,True,0.8984597864030571,0.7,0.3,True,0.25617349576741294,0.7,0.3,True,0.23501862468029971,0.7,0.3,True,0.46737235415277295,0.7,0.3,False
[5350:5399],107,5350,5399,,,reference,0.875929063898834,0.7,0.3,True,0.9129972638706196,0.7,0.3,True,0.16733054898206218,0.7,0.3,True,0.22081348948481674,0.7,0.3,True,0.5735015375517233,0.7,0.3,False
[5400:5449],108,5400,5449,,,reference,0.8847754235368118,0.7,0.3,True,0.9110122807284451,0.7,0.3,True,0.1556858805944446,0.7,0.3,True,0.185888946481006,0.7,0.3,True,0.5193018692616604,0.7,0.3,False
[5450:5499],109,5450,5499,,,reference,0.885507465054832,0.7,0.3,True,0.8625057215201682,0.7,0.3,True,0.24891935405715304,0.7,0.3,True,0.23664232642048746,0.7,0.3,True,0.47287627476851873,0.7,0.3,False
[5500:5549],110,5500,5549,,,reference,0.828904493202085,0.7,0.3,True,0.8518190359345803,0.7,0.3,True,0.15707686784079633,0.7,0.3,True,0.1390067631417755,0.7,0.3,True,0.4762929233019702,0.7,0.3,False
[5550:5599],111,5550,5599,,,reference,0.8770860152991968,0.7,0.3,True,0.8816158062191108,0.7,0.3,True,0.23038662282805297,0.7,0.3,True,0.1827030414050945,0.7,0.3,True,0.44792447742306685,0.7,0.3,False
[5600:5649],112,5600,5649,,,reference,0.8852568595748368,0.7,0.3,True,0.8678716666899428,0.7,0.3,True,0.21141763510818617,0.7,0.3,True,0.18347377716375202,0.7,0.3,True,0.5070487444659502,0.7,0.3,False
[5650:5699],113,5650,5699,,,reference,0.8397267371344032,0.7,0.3,True,0.8047419919694299,0.7,0.3,True,0.22001642772906388,0.7,0.3,True,0.1673011155217135,0.7,0.3,True,0.4698235226266593,0.7,0.3,False
[5700:5749],114,5700,5749,,,reference,0.8421576791911035,0.7,0.3,True,0.8443776374996057,0.7,0.3,True,0.19652887092401608,0.7,0.3,True,0.22503846046399853,0.7,0.3,True,0.47981216559908146,0.7,0.3,False
[5750:5799],115,5750,5799,,,reference,0.8289614268861066,0.7,0.3,True,0.7739617777843678,0.7,0.3,True,0.20429249257779925,0.7,0.3,True,0.20520256115140578,0.7,0.3,True,0.4700309404744069,0.7,0.3,False
[5800:5849],116,5800,5849,,,reference,0.8586477823708037,0.7,0.3,True,0.7455806272842637,0.7,0.3,True,0.2562826040395376,0.7,0.3,True,0.2707585101951934,0.7,0.3,True,0.5266834208598796,0.7,0.3,False
[5850:5899],117,5850,5899,,,reference,0.8448445710621636,0.7,0.3,True,0.7426623050102388,0.7,0.3,True,0.21819990315320928,0.7,0.3,True,0.15824127144927932,0.7,0.3,True,0.473647193921405,0.7,0.3,False
[5900:5949],118,5900,5949,,,reference,0.7834295131927683,0.7,0.3,True,0.7553461433344804,0.7,0.3,True,0.1963761551635877,0.7,0.3,True,0.1903200511820881,0.7,0.3,True,0.4375089243587297,0.7,0.3,False
[5950:5999],119,5950,5999,,,reference,0.8130583402954731,0.7,0.3,True,0.771229886542507,0.7,0.3,True,0.20762101296541857,0.7,0.3,True,0.16053941072630126,0.7,0.3,True,0.5407086827371934,0.7,0.3,False
[6000:6049],120,6000,6049,,,reference,0.7814490969871585,0.7,0.3,True,0.7269601006150439,0.7,0.3,True,0.17486033631231165,0.7,0.3,True,0.191940609298605,0.7,0.3,True,0.46057515311250824,0.7,0.3,False
[6050:6099],121,6050,6099,,,reference,0.8625090303347642,0.7,0.3,True,0.7726315278264104,0.7,0.3,True,0.24736137915660855,0.7,0.3,True,0.22397907881148724,0.7,0.3,True,0.48035407230873955,0.7,0.3,False
[6100:6149],122,6100,6149,,,reference,0.8310082910454507,0.7,0.3,True,0.7529437400907077,0.7,0.3,True,0.2294405770996758,0.7,0.3,True,0.22375535335649901,0.7,0.3,True,0.46638178387029877,0.7,0.3,False
[6150:6199],123,6150,6199,,,reference,0.8625090303347642,0.7,0.3,True,0.7326959847104924,0.7,0.3,True,0.2608267999884937,0.7,0.3,True,0.22754704027014036,0.7,0.3,True,0.5265575097210933,0.7,0.3,False
[6200:6249],124,6200,6249,,,reference,0.788097462807331,0.7,0.3,True,0.7558164396229928,0.7,0.3,True,0.25089962108350106,0.7,0.3,True,0.19629664758018292,0.7,0.3,True,0.47894824829573274,0.7,0.3,False
[6250:6299],125,6250,6299,,,reference,0.8568083653356061,0.7,0.3,True,0.7393622060085152,0.7,0.3,True,0.2026096007379232,0.7,0.3,True,0.1596459484550472,0.7,0.3,True,0.4784432144594809,0.7,0.3,False
[6300:6349],126,6300,6349,,,reference,0.7603171757928129,0.7,0.3,True,0.6890179154063993,0.7,0.3,False,0.18955683048575883,0.7,0.3,True,0.14658729155329978,0.7,0.3,True,0.4291600527903476,0.7,0.3,False
[6350:6399],127,6350,6399,,,reference,0.8080639447792133,0.7,0.3,True,0.8516987079873355,0.7,0.3,True,0.18286941239497456,0.7,0.3,True,0.14737564279798124,0.7,0.3,True,0.4525984561392586,0.7,0.3,False
[6400:6449],128,6400,6449,,,reference,0.768360932643783,0.7,0.3,True,0.7570594514619962,0.7,0.3,True,0.24533037484103312,0.7,0.3,True,0.22055122596421686,0.7,0.3,True,0.48846590912626103,0.7,0.3,False
[6450:6499],129,6450,6499,,,reference,0.7967739104567991,0.7,0.3,True,0.7808766896878173,0.7,0.3,True,0.24101985991312663,0.7,0.3,True,0.259581684205533,0.7,0.3,True,0.4593544239982867,0.7,0.3,False
[6500:6549],130,6500,6549,,,reference,0.8365423341908661,0.7,0.3,True,0.6571174491356989,0.7,0.3,False,0.28409864621740827,0.7,0.3,True,0.30274677883070567,0.7,0.3,False,0.4378773795172533,0.7,0.3,False
[6550:6599],131,6550,6599,,,reference,0.9074466997883067,0.7,0.3,True,0.7530795961376908,0.7,0.3,True,0.2479797074442818,0.7,0.3,True,0.2565721474403613,0.7,0.3,True,0.47328155091061186,0.7,0.3,False
[6600:6649],132,6600,6649,,,reference,0.9074466997883067,0.7,0.3,True,0.7399077524100122,0.7,0.3,True,0.15812312246970328,0.7,0.3,True,0.15994626666662,0.7,0.3,True,0.4617480121072724,0.7,0.3,False
[6650:6699],133,6650,6699,,,reference,0.8775524129242382,0.7,0.3,True,0.7401745907349119,0.7,0.3,True,0.20859702072724337,0.7,0.3,True,0.20741812488103506,0.7,0.3,True,0.5092381356043162,0.7,0.3,False
[6700:6749],134,6700,6749,,,reference,0.8643162785220717,0.7,0.3,True,0.7608071776792422,0.7,0.3,True,0.212147321898144,0.7,0.3,True,0.15674869948658932,0.7,0.3,True,0.458260817718259,0.7,0.3,False
[6750:6799],135,6750,6799,,,reference,0.7942184262506666,0.7,0.3,True,0.7523746629500533,0.7,0.3,True,0.2206233333289021,0.7,0.3,True,0.20614576372203172,0.7,0.3,True,0.4440750307131218,0.7,0.3,False
[6800:6849],136,6800,6849,,,reference,0.8656243777557882,0.7,0.3,True,0.7492146466572666,0.7,0.3,True,0.20597743158221726,0.7,0.3,True,0.21258512046646716,0.7,0.3,True,0.47576835280299873,0.7,0.3,False
[6850:6899],137,6850,6899,,,reference,0.8992289811842173,0.7,0.3,True,0.8397994169272097,0.7,0.3,True,0.23130766731212518,0.7,0.3,True,0.23818624228069118,0.7,0.3,True,0.42191679561693496,0.7,0.3,False
[6900:6949],138,6900,6949,,,reference,0.8093911044877795,0.7,0.3,True,0.8170161275717585,0.7,0.3,True,0.30251479725191066,0.7,0.3,False,0.16269434716610157,0.7,0.3,True,0.4694171471138687,0.7,0.3,False
[6950:6999],139,6950,6999,,,reference,0.7814490969871585,0.7,0.3,True,0.7429816263463812,0.7,0.3,True,0.27137493648274313,0.7,0.3,True,0.20878803722293107,0.7,0.3,True,0.4674724081848984,0.7,0.3,False
[7000:7049],140,7000,7049,,,reference,0.8130583402954731,0.7,0.3,True,0.742560908199246,0.7,0.3,True,0.22180895749859866,0.7,0.3,True,0.20409374401348213,0.7,0.3,True,0.42016395419042846,0.7,0.3,False
[7050:7099],141,7050,7099,,,reference,0.7863769158024667,0.7,0.3,True,0.7553461433344804,0.7,0.3,True,0.23838094712175598,0.7,0.3,True,0.1936484856236798,0.7,0.3,True,0.47772829721195936,0.7,0.3,False
[7100:7149],142,7100,7149,,,reference,0.7819132264015218,0.7,0.3,True,0.7247147706834062,0.7,0.3,True,0.27517010629846117,0.7,0.3,True,0.18775933677021409,0.7,0.3,True,0.44340980714738776,0.7,0.3,False
[7150:7199],143,7150,7199,,,reference,0.7863336424331426,0.7,0.3,True,0.765604177936543,0.7,0.3,True,0.23442504205685294,0.7,0.3,True,0.2515362591279334,0.7,0.3,True,0.4797965369793711,0.7,0.3,False
[7200:7249],144,7200,7249,,,reference,0.9066697644681615,0.7,0.3,True,0.7731140901278636,0.7,0.3,True,0.21018314604433627,0.7,0.3,True,0.20028587022368988,0.7,0.3,True,0.466767331674795,0.7,0.3,False
[7250:7299],145,7250,7299,,,reference,0.7855482425854992,0.7,0.3,True,0.7682614085204608,0.7,0.3,True,0.2755810750534786,0.7,0.3,True,0.19336146905605858,0.7,0.3,True,0.4936664717887935,0.7,0.3,False
[7300:7349],146,7300,7349,,,reference,0.8374981968442845,0.7,0.3,True,0.8154130118959152,0.7,0.3,True,0.2309086247923255,0.7,0.3,True,0.21421990501664556,0.7,0.3,True,0.47326726947270276,0.7,0.3,False
[7350:7399],147,7350,7399,,,reference,0.835378157294443,0.7,0.3,True,0.6707231688254551,0.7,0.3,False,0.2610555297453431,0.7,0.3,True,0.15463670471373903,0.7,0.3,True,0.4625576024753687,0.7,0.3,False
[7400:7449],148,7400,7449,,,reference,0.8129637234243241,0.7,0.3,True,0.7145086826120943,0.7,0.3,True,0.15090419156884782,0.7,0.3,True,0.13697418104383685,0.7,0.3,True,0.47993430904000867,0.7,0.3,False
[7450:7499],149,7450,7499,,,reference,0.7870166264637022,0.7,0.3,True,0.8037668078069612,0.7,0.3,True,0.2323544742272658,0.7,0.3,True,0.146453711597802,0.7,0.3,True,0.4557107019362043,0.7,0.3,False
[7500:7549],150,7500,7549,,,reference,0.7852998571763884,0.7,0.3,True,0.8030950302654627,0.7,0.3,True,0.23771021831172526,0.7,0.3,True,0.2026025744621469,0.7,0.3,True,0.4495392835894223,0.7,0.3,False
[7550:7599],151,7550,7599,,,reference,0.8427959619351861,0.7,0.3,True,0.7723810240446473,0.7,0.3,True,0.2311387294757783,0.7,0.3,True,0.225506706872262,0.7,0.3,True,0.47688439361829726,0.7,0.3,False
[7600:7649],152,7600,7649,,,reference,0.8427959619351861,0.7,0.3,True,0.7884647072672757,0.7,0.3,True,0.21096263980546567,0.7,0.3,True,0.17323264279786843,0.7,0.3,True,0.4717973370431835,0.7,0.3,False
[7650:7699],153,7650,7699,,,reference,0.8229455353277247,0.7,0.3,True,0.8042028689155983,0.7,0.3,True,0.3069632030782078,0.7,0.3,False,0.23918734036962178,0.7,0.3,True,0.5303380009899004,0.7,0.3,False
[7700:7749],154,7700,7749,,,reference,0.8130583402954731,0.7,0.3,True,0.8114647251081633,0.7,0.3,True,0.28209953770823476,0.7,0.3,True,0.23628522543020058,0.7,0.3,True,0.4575681927458121,0.7,0.3,False
[7750:7799],155,7750,7799,,,reference,0.79036723823686,0.7,0.3,True,0.8038434769152006,0.7,0.3,True,0.2425955917874436,0.7,0.3,True,0.299597482357249,0.7,0.3,True,0.46896873131335876,0.7,0.3,False
[7800:7849],156,7800,7849,,,reference,0.8243501068786667,0.7,0.3,True,0.8205438553390524,0.7,0.3,True,0.19932431401111547,0.7,0.3,True,0.17294836505804878,0.7,0.3,True,0.5191327886261965,0.7,0.3,False
[7850:7899],157,7850,7899,,,reference,0.7814490969871585,0.7,0.3,True,0.8678716666899428,0.7,0.3,True,0.22900147753167702,0.7,0.3,True,0.24972084194152033,0.7,0.3,True,0.4997981587155776,0.7,0.3,False
[7900:7949],158,7900,7949,,,reference,0.787202016576756,0.7,0.3,True,0.8164605099727534,0.7,0.3,True,0.2249434271433782,0.7,0.3,True,0.2432411779035299,0.7,0.3,True,0.5243832618967352,0.7,0.3,False
[7950:7999],159,7950,7999,,,reference,0.8992289811842173,0.7,0.3,True,0.8492942645255247,0.7,0.3,True,0.19897370908774498,0.7,0.3,True,0.21850407167089764,0.7,0.3,True,0.4594426107066062,0.7,0.3,False
[8000:8049],160,8000,8049,,,reference,0.7902378819129054,0.7,0.3,True,0.9121543500415339,0.7,0.3,True,0.25173822725056744,0.7,0.3,True,0.15235864718269565,0.7,0.3,True,0.5275745404065936,0.7,0.3,False
[8050:8099],161,8050,8099,,,reference,0.7940503295028346,0.7,0.3,True,0.8061283258515507,0.7,0.3,True,0.23770303215666821,0.7,0.3,True,0.22133878724293163,0.7,0.3,True,0.46706026939394985,0.7,0.3,False
[8100:8149],162,8100,8149,,,reference,0.7288051618808303,0.7,0.3,True,0.7081123686527083,0.7,0.3,True,0.23183621599275758,0.7,0.3,True,0.17106965389672033,0.7,0.3,True,0.4328877656317004,0.7,0.3,False
[8150:8199],163,8150,8199,,,reference,0.8353904054125518,0.7,0.3,True,0.7426623050102388,0.7,0.3,True,0.1960882570632919,0.7,0.3,True,0.17275482699732886,0.7,0.3,True,0.5259288073083704,0.7,0.3,False
[8200:8249],164,8200,8249,,,reference,0.8239844220691075,0.7,0.3,True,0.7429178730582543,0.7,0.3,True,0.26857115373964446,0.7,0.3,True,0.2032981867779227,0.7,0.3,True,0.49898355930762756,0.7,0.3,False
[8250:8299],165,8250,8299,,,reference,0.8140257936466061,0.7,0.3,True,0.7133544343468146,0.7,0.3,True,0.2943899736060858,0.7,0.3,True,0.22893657908399676,0.7,0.3,True,0.43131013397263623,0.7,0.3,False
[8300:8349],166,8300,8349,,,reference,0.878316110710147,0.7,0.3,True,0.7731140901278636,0.7,0.3,True,0.22194560469235933,0.7,0.3,True,0.3047897564388338,0.7,0.3,False,0.41253383950890754,0.7,0.3,False
[8350:8399],167,8350,8399,,,reference,0.823319160166283,0.7,0.3,True,0.8516987079873355,0.7,0.3,True,0.2141925366358878,0.7,0.3,True,0.2831494734972758,0.7,0.3,True,0.4594063973778603,0.7,0.3,False
[8400:8449],168,8400,8449,,,reference,0.7621691683139904,0.7,0.3,True,0.6877873300578532,0.7,0.3,False,0.2171424012398997,0.7,0.3,True,0.1435462751795658,0.7,0.3,True,0.4392516170758285,0.7,0.3,False
[8450:8499],169,8450,8499,,,reference,0.7988135044917557,0.7,0.3,True,0.7819124222085995,0.7,0.3,True,0.21602175325108658,0.7,0.3,True,0.19516117180681855,0.7,0.3,True,0.4652375036551723,0.7,0.3,False
[8500:8549],170,8500,8549,,,reference,0.8166782697897753,0.7,0.3,True,0.7611520858669175,0.7,0.3,True,0.23107443572961772,0.7,0.3,True,0.1942591348833943,0.7,0.3,True,0.4510610667002929,0.7,0.3,False
[8550:8599],171,8550,8599,,,reference,0.7517602724655094,0.7,0.3,True,0.6802784353253479,0.7,0.3,False,0.234598554010214,0.7,0.3,True,0.23200979184401088,0.7,0.3,True,0.47450948394779396,0.7,0.3,False
[8600:8649],172,8600,8649,,,reference,0.82117534185084,0.7,0.3,True,0.7793737124290298,0.7,0.3,True,0.20835463166350357,0.7,0.3,True,0.2330928167239573,0.7,0.3,True,0.48271535651317854,0.7,0.3,False
[8650:8699],173,8650,8699,,,reference,0.8364272796935356,0.7,0.3,True,0.7885307868513063,0.7,0.3,True,0.21080358285614206,0.7,0.3,True,0.19784955248267722,0.7,0.3,True,0.43898711160176496,0.7,0.3,False
[8700:8749],174,8700,8749,,,reference,0.9093425322133426,0.7,0.3,True,0.8417176341194619,0.7,0.3,True,0.16792004308468245,0.7,0.3,True,0.2245479011936724,0.7,0.3,True,0.46882026552815337,0.7,0.3,False
[8750:8799],175,8750,8799,,,reference,0.8212998808790952,0.7,0.3,True,0.8088567494840924,0.7,0.3,True,0.2197008729892308,0.7,0.3,True,0.2522254768992446,0.7,0.3,True,0.45872187326700653,0.7,0.3,False
[8800:8849],176,8800,8849,,,reference,0.8539112671934719,0.7,0.3,True,0.7849402910258447,0.7,0.3,True,0.23620946235367135,0.7,0.3,True,0.19679510181924978,0.7,0.3,True,0.4038508102091106,0.7,0.3,False
[8850:8899],177,8850,8899,,,reference,0.7860967538557808,0.7,0.3,True,0.7718795422260096,0.7,0.3,True,0.25570414517315937,0.7,0.3,True,0.27976854668399004,0.7,0.3,True,0.45116728769349684,0.7,0.3,False
[8900:8949],178,8900,8949,,,reference,0.9093425322133426,0.7,0.3,True,0.7901296796317874,0.7,0.3,True,0.20495899222274006,0.7,0.3,True,0.227224320948059,0.7,0.3,True,0.46530633775147967,0.7,0.3,False
[8950:8999],179,8950,8999,,,reference,0.8850379925766608,0.7,0.3,True,0.8320654595238143,0.7,0.3,True,0.1401184919972091,0.7,0.3,True,0.16130235875903096,0.7,0.3,True,0.5066059661393141,0.7,0.3,False
[9000:9049],180,9000,9049,,,reference,0.8636254616959627,0.7,0.3,True,0.8218104618954017,0.7,0.3,True,0.23138136904281048,0.7,0.3,True,0.21760124963163446,0.7,0.3,True,0.4907036013619266,0.7,0.3,False
[9050:9099],181,9050,9099,,,reference,0.9093425322133426,0.7,0.3,True,0.7970291848177795,0.7,0.3,True,0.32052170878778036,0.7,0.3,False,0.26512358817976894,0.7,0.3,True,0.39423400068456593,0.7,0.3,False
[9100:9149],182,9100,9149,,,reference,0.8221488881829886,0.7,0.3,True,0.7864564237862757,0.7,0.3,True,0.27254026216502225,0.7,0.3,True,0.25387027686205527,0.7,0.3,True,0.46661105595640556,0.7,0.3,False
[9150:9199],183,9150,9199,,,reference,0.8626865866567619,0.7,0.3,True,0.7366937325029465,0.7,0.3,True,0.24328111976626499,0.7,0.3,True,0.17308962459292324,0.7,0.3,True,0.44941222291330435,0.7,0.3,False
[9200:9249],184,9200,9249,,,reference,0.8006306139779834,0.7,0.3,True,0.7726267032849945,0.7,0.3,True,0.2143942956634921,0.7,0.3,True,0.21069696348688124,0.7,0.3,True,0.47315971376513444,0.7,0.3,False
[9250:9299],185,9250,9299,,,reference,0.8837312822650587,0.7,0.3,True,0.7711918385428186,0.7,0.3,True,0.2174356072341449,0.7,0.3,True,0.22809456290014501,0.7,0.3,True,0.45242816282921305,0.7,0.3,False
[9300:9349],186,9300,9349,,,reference,0.8367065544758201,0.7,0.3,True,0.7347912838039953,0.7,0.3,True,0.2618502788017277,0.7,0.3,True,0.24300863642577383,0.7,0.3,True,0.47036703632564875,0.7,0.3,False
[9350:9399],187,9350,9399,,,reference,0.7849263000186818,0.7,0.3,True,0.778510206316442,0.7,0.3,True,0.19951951442610785,0.7,0.3,True,0.1773652601613675,0.7,0.3,True,0.4237333720834722,0.7,0.3,False
[9400:9449],188,9400,9449,,,reference,0.8003595825225374,0.7,0.3,True,0.7470721110863863,0.7,0.3,True,0.25070171611198094,0.7,0.3,True,0.2744750289742111,0.7,0.3,True,0.4464360630137002,0.7,0.3,False
[9450:9499],189,9450,9499,,,reference,0.7068210576760667,0.7,0.3,True,0.672060264919845,0.7,0.3,False,0.1611281568448925,0.7,0.3,True,0.24552955817521774,0.7,0.3,True,0.4783757697723229,0.7,0.3,False
[9500:9549],190,9500,9549,,,reference,0.8041844085704455,0.7,0.3,True,0.7023668460570833,0.7,0.3,True,0.25262482973516076,0.7,0.3,True,0.22909293061473246,0.7,0.3,True,0.4655143101655492,0.7,0.3,False
[9550:9599],191,9550,9599,,,reference,0.7862357576010591,0.7,0.3,True,0.6727201670818188,0.7,0.3,False,0.18484906251178831,0.7,0.3,True,0.22206883685971146,0.7,0.3,True,0.45330655069762776,0.7,0.3,False
[9600:9649],192,9600,9649,,,reference,0.8122317027879443,0.7,0.3,True,0.7682142074826659,0.7,0.3,True,0.21556081708081726,0.7,0.3,True,0.18502489757499913,0.7,0.3,True,0.46155189821076625,0.7,0.3,False
[9650:9699],193,9650,9699,,,reference,0.8114973698961456,0.7,0.3,True,0.7511415280158292,0.7,0.3,True,0.27112635422022474,0.7,0.3,True,0.22980469450835475,0.7,0.3,True,0.6031584831715432,0.7,0.3,False
[9700:9749],194,9700,9749,,,reference,0.8295972911874177,0.7,0.3,True,0.7521743397073459,0.7,0.3,True,0.1612614281508717,0.7,0.3,True,0.16982660369547142,0.7,0.3,True,0.4818895200446851,0.7,0.3,False
[9750:9799],195,9750,9799,,,reference,0.8002811075364669,0.7,0.3,True,0.7759217162499218,0.7,0.3,True,0.2663582742896859,0.7,0.3,True,0.1977661445870256,0.7,0.3,True,0.4147198288203559,0.7,0.3,False
[9800:9849],196,9800,9849,,,reference,0.8313702573714817,0.7,0.3,True,0.8427840247489335,0.7,0.3,True,0.32684650220674033,0.7,0.3,False,0.2517144699083463,0.7,0.3,True,0.4370024671640428,0.7,0.3,False
[9850:9899],197,9850,9899,,,reference,0.8388121142502021,0.7,0.3,True,0.7759217162499218,0.7,0.3,True,0.28985402750407824,0.7,0.3,True,0.17965975092108788,0.7,0.3,True,0.42666425846070677,0.7,0.3,False
[9900:9949],198,9900,9949,,,reference,0.8062526244393922,0.7,0.3,True,0.6723679249525119,0.7,0.3,False,0.1735086841599428,0.7,0.3,True,0.1686256681815757,0.7,0.3,True,0.43533255507817836,0.7,0.3,False
[9950:9999],199,9950,9999,,,reference,0.7980445344513326,0.7,0.3,True,0.754577107083347,0.7,0.3,True,0.23726679023875272,0.7,0.3,True,0.2211237355609848,0.7,0.3,True,0.47180428101134225,0.7,0.3,False
[0:49],0,0,49,,,analysis,0.6317483131081411,0.7,0.3,False,0.5517597927564428,0.7,0.3,False,0.9577871015259056,0.7,0.3,True,0.9315541036056688,0.7,0.3,True,0.25256423147504886,0.7,0.3,True
[50:99],1,50,99,,,analysis,0.5163947667761362,0.7,0.3,False,0.40032349225021163,0.7,0.3,False,0.9579135351262652,0.7,0.3,True,0.9331995152915074,0.7,0.3,True,0.23279054129321008,0.7,0.3,True
[100:149],2,100,149,,,analysis,0.6304557448280802,0.7,0.3,False,0.5450080004179043,0.7,0.3,False,0.9611773845361633,0.7,0.3,True,0.9316939557729998,0.7,0.3,True,0.16104584493551277,0.7,0.3,True
[150:225],3,150,225,,,analysis,0.4302841409933551,0.7,0.3,False,0.2677300361765827,0.7,0.3,True,0.9587681388063941,0.7,0.3,True,0.931782468332288,0.7,0.3,True,0.11428616805722878,0.7,0.3,True
